Sl.No,Name of the District,Name of the Stadium with contact details & Location,Contact No,Total Area of Capacity / Capacity as per Discipline,Unit,Ground Suitable for,Infrastructure / Game practicing over there,Game can be run over there
60,Tirunelveli,"Mini Stadium at Alangulam Taluk, SDAt Dist. Sports Unit, No.115A, St. Thomas Road, A.R. Line, 
Anna Stadium, Palayamkottai, Tirunelvelli- 627 002",0462-2582632,15.06,Acres,All Disciplines,"400 Mts. Athletic Track, Football Field, Volleyball Court, Basketball Court - 1, Kabaddi Court, Kho-Kho Court",All Disciplines
61,Tirunelveli,"Mini Stadium at Kallidaikurichi, SDAt Dist. Sports Unit, No.115A, St. Thomas Road, A.R. Line, 
Anna Stadium, Palayamkottai, Tirunelvelli- 627 002",0462-2582632,7,Acres,All Disciplines,"400 Mts. Athletic Track, Football Field, Volleyball Court - 2, Basketball Court - 1 (Concrete), Ball Badminton Court - 1, Kho-Kho Court - 1",All Disciplines
62,Tirunelveli,"Mini Stadium at Sankarankoil, SDAt Dist. Sports Unit, No.115A, St. Thomas Road, A.R. Line, 
Anna Stadium, Palayamkottai, Tirunelvelli- 627 002",0462-2582632,10.06,Acres,All Disciplines,"200 Mts. Athletic Track,  Football Field,  Volleyball Court,  Basketball Court, Kabaddi  Court and  Kho-Kho Court",All Disciplines
63,Tirunelveli,"Mini Stadium at Melapalayam, SDAt Dist. Sports Unit, No.115A, St. Thomas Road, A.R. Line, 
Anna Stadium, Palayamkottai, Tirunelvelli- 627 002",0462-2582632,6,Acres,All Disciplines,"400 Mts. Athletic Track, Basketball Court, Volleyball Court, Kabaddi Court, Kho-Kho Court, Accommodation Centre",All Disciplines
64,Tiruppur,"Multipurpose Indoor Stadium at Chikkanna Govt. Arts College campus, SDAT Dist. Sports Unit, Nanjappa Corporation Boys Hr. Sec. School, Nr. Railway Station, Tiruppur - 641601","
0421-2244899",4.86,Acres,All Disciplines,"Shuttle Court, Basketball Court, Volleyball Court, Ball Badminton, Kho Kho Court, Kabaddi Court, Handball Court",All Indoor games
65,Tiruvallur,"SDAT Dist. Sports Unit,
Master Plan Complex, Opp. To Dist. Police Station, Tiruvallur - 602001 & Mogappair Sports Complex",04116-27664093,12.62,Acres,All Disciplines,"Open Air Stadium with Seating Capacity 800 Nos., 400 Mts. Athletic Track, Football Field - 1, Basketball Court - 2 (Concrete), Volleyball Court - 2, Gym Hall - 1, Badminton Court - 1 (Mud), Indoor Badminton Hall, Swimming Pool 25Mts x 13Mts
&
Tennis Courts - 4 (2 -Synthetic, 2- Mud), Basketball Courts - 2 (Concrete), Swimming Pool 25Mts x 13Mts. (SDAT -  Dolphin Academy - Under Public Private  Partnership), Baby Swimming Pool, Multipurpose Indoor Stadium",All Disciplines
67,Tiruvannamalai,"SDAT Dist. Sports Unit, Collector Office Backside, Vengikkal, Tiruvannamalai - 606 604",04175-233169,16.721,Acres,All Disciplines,"400 Mts. Athletic Track (Mud), Open Air Gallery with 1500 seating capacity, Conference Hall, Football Field - 1 (Natural Turf), Hockey Field - 1 (Mud) (With Fencing), Basketball Court - 1 (Concrete) (with Floodlight Roofing), Volleyball Court - 2) (Mud) (with Floodlight), Boxing Ring -1 (Concrete), Kabaddi Court - 1, Ball Badminton - 1, Kho-Kho Court - 1, Handball Court - 1 (Mud) (with Fencing), Synthetic Tennis Courts - 2 (with Floodlight), Indoor Multi Gym (A/C) and Table Tennis Hall - 1, Swimming Pool 25 Mts x 16 Mts, Baby Swimming Pool, 80 Mts Indoor for sand running with Galvalume Sheet roof, Accomodation centre, SDAT Sports Hostel for Girls, Multipurpose Indoor Stadium",All Disciplines
68,Tiruvannamalai,"Mini Stadium at Arni, SDAT Dist. Sports Unit, Collector Office Backside, Vengikkal, Tiruvannamalai - 606 604",04175-233169,5.56,Acres,All Disciplines,"400 Mts. Athletic Track, Football Field - 1, Hockey Field - 1, Handball Court - 1, Ball Badminton Court - 1, Basketball Court - 1 (Concrete), An Open Air Stadium - Seating Capacity 500, Walkers Path",All Disciplines
69,Tiruvannamalai,"Mini Stadium at Cheyyar Taluk, SDAT Dist. Sports Unit, Collector Office Backside, Vengikkal, Tiruvannamalai - 606 604",04175-233169,4.56,Acres,All Disciplines,"Football Ground - 1, Hockey Court - 1, Basketball Court - 1 (Concrete), Ball Badminton Court - 1, Handball Court - 1, Swimming Pool - 1, Open Air Stadium with Seating capacity 500 Nos.",All Disciplines
70,Tiruvannamalai,"Mini Stadium at Thandarampattu Taluk, SDAT Dist. Sports Unit, Collector Office Backside, Vengikkal, Tiruvannamalai - 606 604",04175-233169,4.15,Acres,All Disciplines,"400 Mts. Athletic Track, Football Field - 1, Volleyball Court - 1, An Open Air Stadium - Seating Capacity 500, Kho - Kho Court - 1, Kabaddi Court - 1",All Disciplines
71,Tiruvarur,"SDAT Dist. Sports Unit, District Collectorate Office, Master Plan Complex, Tiruvarur-610 001",04366-22758,15,Acres,All Discipline,"400 Mts. Athletic  Track (Mud), Football Field - 1 (Mud), Hockey Field - 1 (Mud), Basketball Court - 1 (Concrete), Volleyball Court - 1 (Mud), Swimming Pool 25Mts x13 Mts., Kabaddi Court - 1 (Mud) (Mats available for 1 Court), Kho-Kho Court - 1 (Mud), Football Field - 1 (Mud) (Tiruneipair), Multipurpose Indoor Stadium",All Disciplines
72,Vellore,"SDAT Dist. Sports Unit, Netaji Stadium, Vellore-632 001",0416-2221721,6.5,Acres,"Athletics, Volleyball, Wt. Lifting, Hockey","400 Mts. Athletic Track (Mud), Football Field -1 (Mud), Hockey Field - 1 (Mud), Kabaddi Court - 1 (Mud), Volleyball Court - 1 (Mud)","Athletics, Volleyball, Wt. Lifting, Hockey"
73,Vellore,"Mini Stadium at Jolarpet, SDAT Dist. Sports Unit, Netaji Stadium, Vellore-632 001",0416-2221721,6.5,Acres,"Athletics, Football, Volleyball, Basketball, Kabaddi, Kho-Kho","400 Mts. Athletic Track (6 Lane) (Mud), Football Field - 1 (Mud), Hockey Field - 1 (Mud), Volleyball Court - 2 (Mud), Basketball Court - 1 (Concrete), Kabaddi Court - 1 (Mud), 
Kho - Kho Court - 1, Fitness Centre for Men &Women - 1","Athletics, Football, Volleyball, Basketball, Kabaddi, Kho-Kho"
74,Vellore,"Sathuvachari SDAT Dist. Sports Unit, Netaji Stadium,
Vellore-632 001, PH:0416-2221721",0416-2221721,4,Ground,Wt. Lifting,"Weightlifting Hall, Gym Hall, Weightlifitng Centre of Excellence Hostel for Boys & Girls",Wt. Lifting 
75,Villupuram,"SDAT Dist. Sports Unit,  Kezhaperumbakkam, Villupuram - 605602",04146-243358,14.19,Ground,All Disciplines,"400 Mts. Athletic Track -1(Mud), Volleyball Court - 2, Basketball Court - 2 (Concrete) , Kabaddi Court - 2, Kho-Kho Court - 1, Handball Court - 1, Hockey Field - 1, Swimming Pool 25 Mts x 13 Mts ( In Collectorate Campus) , SDAT Sports Hostel for Boys, Multipurpose of Indoor Stadium (Wooden)",All Disciplines
76,Virudhunagar,"SDAT Dist. Sports Unit, Outdoor Stadium, Sattur Road, Virudhunagar - 626002",04562-252947 ,26.8,Acres,All Disciplines,"400 Mts. Athletic  Track (Mud), Football Field - 1 (Mud), Hockey Field - 1 (Mud), Volleyball Court - 2 (Floodlight), Basketball Court - 1 (Concretre) (Floodlight), Multi Gym Hall - 1, Boxing Ring - 1, Squash Court - 1, Kabaddi Court - 1, Kho-Kho Court - 1, Ball Badminton Court - 1, Handball Court - 1, Tennikoit Court - 3 (Mud), Tennis Court - 1 (Mud), An Open Air Badminton Court - 1, Swimming Pool 25Mts x 13 Mts",All Disciplines
77,Virudhunagar,"mini Stadium at Sivakasi Taluk, SDAT Dist. Sports Unit, Outdoor Stadium, Sattur Road, Virudhunagar - 626 002",04562-252947 ,12.14,Acres,All Disciplines,"400 Mts. Athletic Track, Football Field - 1, Volleyball Court - 2, Basketball Court - 1 (Concrete)",All Disciplines
78,Virudhunagar,"mini Stadium at Nenmenupatti, SDAT Dist. Sports Unit, Outdoor Stadium, Sattur Road, Virudhunagar - 626 002",04562-252947 ,3.38,Hectares,All Disciplines,"400 Mts. Athletic  Track,Football Field - 1, Volleyball Court - 1",All Disciplines
