Sl.No,Name of the District,Name of the Stadium with contact details & Location,Contact No,Total Area of Capacity / Capacity as per Discipline,Unit,Ground Suitable for,Infrastructure / Game practicing over there,Game can be run over there
28,Karur,"SDAT Dist. Sports Unit, Malanayakanpatti Village, Bharathidasan Nagar, 4th Corss St. Thanthondrimalai, 
Karur- 639 005",04324-256728,15.6,Acres,"Athletics, Football, Volleyball, Kabaddi, Kho-Kho, Hockey, Badminton, Basketball","400 Mts. Athletic Track (Mud) - 1, Football Field (Mud) - 1, Basketball Court - 1 (Concrete), Volleyball Court - 1 (Mud), Kabaddi Court - 1 (Mud), Kho-Kho Court 1 (Mud), Hockey Court-1 (Mud), An Open Air Badminton Court","Athletics, Football, Volleyball, Kabaddi, Kho-Kho, Hockey, Badminton, Basketball"
29,Krishnagiri,"SDAT District Sports Unit, Royakottai Salai, Near Govt. Girls Arts College, Krishnagiri - 635001",04343-225377,18,Acres,All Disciplines,"400 Mts. Athletic Track (Mud), Football Court - 1 (Natural Turf), Hockey Field - 1 (Mud), Basketball Court -2 (Concrete), Handball Court - 2 (Mud), Volleyball Court - 2 (Mud), Boxing Ring (Concrete), Synthetic Tennis Courts - 2, Kabaddi Court - 1 (Mud), Kho-Kho Court - 1 (Mud), Indoor Badminton Hall - 1 Court, Taekwondo Training Hall - 1, Multi Gym Hall - 1, Walkers Path Concrete - 1300 Mts., Swimming Pool 25Mts x 13Mts - 1, Baby Swimming Pool - 1, Judo Training Hall - 1, SDAT Sports Hostel for Boys, Multipurpose Indoor Stadium (Category -1), Officers Club Building, Children’s Park",All Disciplines
30,Krishnagiri,"Mini Stadium at Uthankarai Taluk, SDAT District Sports Unit, Royakottai Salai, Near Govt. Girls Arts College, Krishnagiri - 635001",04343-225377,6.4,Acres,All Disciplines,"400 Mts. Athletic Track, Football Field -1 (Mud), Volleyball Court - 2, Basketball Court - 1, Kabaddi Court - 1 (Mud)","Athletics, Football, Volleyball, Basketball, Kabaddi"
31,Krishnagiri,"Mini Stadium at Hosur, SDAT District Sports Unit, Royakottai Salai, Near Govt. Girls Arts College, Krishnagiri - 635001",04343-225377,8,Acres,All Disciplines,"400 Mts. Athletic Track, Football Court -1, Volleyball Court - 2 (Mud), Kabaddi Court - 1 (Mud), Cricket Ground","Football, Volleyball, Kho - Kho, Kabaddi 
Cricket"
32,Madurai,"SDAT Dist. Sports Unit, Dr. M.G.R. Stadium, Madurai - 625 002","
0452-2537835",26,Acres,All Disciplines ,"4400 Mts. Synthetic Athletic Track (With Floodlight facility), Seating capacity 2250 (3 Galleries), Multipurpose Indoor Stadium (Wooden Floor), Football Field - 1 (Natural Turf), Practice Football Field - 1 (Mud), Synthetic Hockey Field - 1 (with Floodlight), Practice Synthetic Hockey Field - 1, Synthetic Warm-up Track 100 Mts -1, Volleyball Court - 3 (Mud) (1 with Floodlight), each Volleyball Court -1 (Mud), Kabaddi Court-2 (with Floodlight) (Mat available for 1 court) (Mud), Kho-Kho Court - 1 (Mud), Synthetic Basketball Court - 2 (1 with Floodlight), Multi Gym Hall - 1, Synthetic Tennis Court - 2, Tennis Court - 1 (Mud), Cricket Practice Pitch - 2 (Mud), Boxing Ring - 1 (Mud), Handball Court - 1 (Mud), Tennikoit Court - 4 (Concrete), Tennikoit Court - 3 (Mud), Gymnasium Hall - 1 (Fencing, Yoga, Gymnastics & Taekwondo), Fitness Centre - 1, Indoor Hall for Badminton -4 Courts with Floodlight (Wooden), Indoor Hall for Badminton - 2 Courts with Floodlight, Swimming Pool 25 Mts. x 13 Mts, Table Tennis Hall -1 (Wooden)",All Disciplines
33,Madurai,"Ellis Nagar, SDAT Dist. Sports Unit, Dr. M.G.R. Stadium, Madurai - 625 002","
0452-2537835",12394,Sq. feet,All Disciplines ,"Hockey Field - 1 (Mud), Basketball Court - 1 (Concrete)",All Disciplines
34,Nagapattinam,"SDAT Dist. Sports Unit, Colectorate Building, Velipalayam, Nagapattinam - 611 001",04365-253059,9.5,Acres,All Discipline,"400 Mts. Athletic Track (Mud), Football Field - 1 (Mud), Volleyball Court - 2 (Mud) (1- Floodlight), Basketball Court - 2 (1 -Concrete, 1- Acrylic Boards and Floodlight), Beach Volleyball Court - 1, Tennis Court - 2, Handball Court - 1, Kho-Kho Court - 1, Kabaddi Court - 1, Ball Badminton Court - 1, An Open Air Boxing Ring, 5 Men Football ground - 1, Cricket Practice Pitch -1, Indoor Squash Hall - 1 (Court), Indoor Badminton Hall -2 Court (Floodlight), Table Tennis - 1
Weightlifting Hall - 1, Multi Gym Hall (24 Stations) - 1, Swimming Pool 25 Mts. x 13 Mts, Multi Purpose Indoor Stadium (Wooden floor)",All Disciplines
35,Nagapattinam,"Mini Stadium at Tharangambadi Taluk, SDAT Dist. Sports Unit, Colectorate Building, Velipalayam, Nagapattinam - 611 001",04365-253059,13,Acres,NA,"400 Mts. Athletic  Track (Mud), Football Field - 1 (Mud), Volleyball Court - 1, Basketball Court - 1 (Concrete), Kabaddi Court - 1, Multipurpose Gym Hall- 1, Kho - Kho Court - 1",All Disciplines
36,Nagapattinam,"Mini Stadium at Thittachery, SDAT Dist. Sports Unit, Colectorate Building, Velipalayam, Nagapattinam - 611 001",04365-253059,NA,NA,NA,"200 Mts. Athletic Track (Mud), Football Field - 1 (Mud), Volleyball Court - 2, Beach Volleyball Court - 1, Kabaddi Court - 1",All Disciplines
37,Nagapattinam,"Mini Stadium at Ayyakkaranpulam, SDAT Dist. Sports Unit, Colectorate Building, Velipalayam, Nagapattinam - 611 001",04365-253059,NA,NA,NA,"200 Mts. Athletic  Track (Mud), Football Field - 1 (Mud), Volleyball Court - 1, Ball Badminton Court - 1, Kabaddi Court - 1, Kho-kho Court - 1",All Disciplines
38,Namakkal,"SDAT Dist. Sports Unit, Collectorate compound, Namakkal 607- 003",04286-280882,16.289,Acres,All Disciplines,"400 Mts. Athletic Track (Mud), Football Field - 1, Hockey Field - 1, Volleyball Court (Mud), Handball Court- 1, Kabaddi Court- 1, Kho-Kho Court- 1, Swimming Pool 25 Mts x 13 Mts, SDAT Sports Hostel for Girls, G45SDAT Sports Hostel for Boys and Girls at Selvam HSS, Namakkal.",All Disciplines
39,Namakkal (Mini Stadium - Tiruchengode),"Mini Stadium at Tiruchengode, SDAT Dist. Sports Unit, Collectorate compound, Namakkal 607- 003",04286-280882,5.2,Acres,All Disciplines,"400 Mts. Athletic Track, Volleyball Court - 1, Kabaddi Court - 1, Basketball Court - 1, Badminton Court - 1 (Outdoor), Football  Field - 1 (Mud)",All Disciplines
40,Perambalur,"SDAT Dist. Sports Unit,  Collectorate Complex, Perambalur - 621 212",NA,10,Acres,All Disciplines,"400 Mts. Athletic  Track (Mud), Football Field (Mud), Basketball Court - 1 (Concrete), Volleyball Court - 2(Mud) (with fencing-1), Handball Court - 1 (Mud), Kabaddi Court, Kho-Kho Court, Tennis Synthetic Court ( Floodlight), Modern Gym (A/C), Swimming Pool 25 Mts x 13 Mts, Indoor Badminton Hall - 2 Court, Multipurpose Indoor Stadium (Wooden), Beach Volleyball Court, SDAT Sports Hostel for Girls, Walkers Path",All Disciplines
41,Perambalur (Mini Stadium at Veppanthattai),"Mini Stadium at Veppanthattai, SDAT Dist. Sports Unit,  Collectorate Complex, Perambalur - 621 212",NA,5,Acres,All Disciplines,"200 Mts. Athletic Track (Mud), Football Mini Field - 1 (Mud), Volleyball Court - 2 (Mud), Kabaddi Court - 1",All Disciplines
42,Pudukottai,"SDAT Dist. Sports Unit, District Stadium, Governor Street, Rajagopalapuram, Pudukottai -622 003",04322-222187,10,Acres,All Disciplines,"400 Mts. Athletic Track (Mud), Football Field - 1 (Mud), Hockey Field - 1 (Mud), Basketball Court - 2 (Concrete -1 and  Floodlight -1), Volleyball Court - 2, Kabaddi Court - 1, Kho - Kho  Court - 1, Badminton Court - 1, Boxing Ring - 1, Multi Gym Hall - 1, Walkers Path, Indoor Badminton Hall - 2 (with Floodlight), Swimming Pool 25 Mts x 13 Mts, Baby Pool 10 Mts. x 5 Mts, SDAT Sports Hostel for Girls.",All Disciplines
43,Ramanathapuram,"SDAT Dist. Sports Unit, Seethakathi Sethupathu Sports Stadium, Collectorate Office Compound, Ramanathapuram - 623 503",04567-230238,14,Acres,All Disciplines,"400 Mts. Athletic Track (Mud), Volleyball Court - 1 (with Floodlight), Basketball Court - 1, Football Field - 1 (Mud), Synthetic Hockey Field - 1 (Astroturf), andball Court - 1 (Mud), Kabaddi Court - 1 (Mud), Kho-Kho Court - 1 (Mud), Multi Gym Hall - 1, An Open Air Boxing Ring (Concrete)
Synthetic Tennis Court - 2 (with Floodlight), Cricket Practice Pitch - 2, ndoor Badminton Hall -3 Courts(Floodlight-1) (2 Wooden), Swimming Pool 25 Mts x 13 Mts, SDAT Sports Hostel for boys.",All Disciplines
44,Ramanathapuram,"Mini Stadium at Paramakudi, SDAT Dist. Sports Unit, Seethakathi Sethupathu Sports Stadium, Collectorate Office Compound, Ramanathapuram - 623 503",04567-230238,4,Acres,All Disciplines,"400 Mts. Athletic Track, Football Field - 1, Volleyball Court - 1, Kabaddi Court - 1, Kho-Kho Court - 1, Badminton - 1 (Concrete)",All Disciplines
45,Salem,"SDAT Dist. Sports, Unit, Mahatma Gandhi Stadium, 
Salem - 636 007","
0427-2412717",9.76,Acres,All Disciplines,"Open Air Stadium Seating Capacity 500 Spectators, 400 Mts. Athletic Track (Mud), Football Field - 1 (Mud), Basketball Court - 1 (Concrete), Volleyball Court - 3 (Mud) ( with Floodlight -1), Kabaddi Court - 1 (Mud), Handball Court - 1 (Mud), Boxing Ring - 1 (Concrete), Gymnastic Training Centre - 1, Multi Gym Hall - 1, Cricket Practice Pitch - 1 (Mud), Synthetic Tennis Court - 1, Swimming Pool 25 Mts  x 13 Mts. (6 lanes), Multipurpose Indoor Stadium (Concrete) (Seating Capacity - 800 Nos.), Taekwondo Hall - 1 , SAI Training Centre for boys",All Disciplines
46,Sivagangai,"SDAT Dist. Sports Unit, Open Air Stadium, Manamadurai Road, Sivaganga - 630561","
04575-292406",20,Acres,All Disciplines,"400 Mts. Athletic Track (Mud), Football Field - 1 (Natural Turf), Volleyball Court - 2 (Mud), Hockey Field - 1 (Mud), Basketball Court - 1 (Concrete), Kho-Kho Court (Mud), Kabaddi Court -2 (Mud), Swimming Pool 25 Mts x 13Mts, Indoor Badminton Hall (rubber court- 2), Indoor Badminton Hall at Kanchirangal (1 Wooden Court), Handball - 1 (Mud), Gym Hall -1, SDAT Sports Hostel for Boys",All Disciplines
47,Thanjavur,"SDAT Dist. Sports Unit, Annai Sathiya Stadium, Ganapathy Nagar, Medical College Road, Thanjavur -613 007","
04362-235633",23.5,Acres,All Disciplines,"400 Mts. 6-lane Athletic Track -1(Mud), Football Field - 1 (Mud), Handball Court-1 (Mud), Hockey Field - 1 (Mud), Basketball Court - 2 (Concrete), Volleyball Court - 4 (Mud), Football Court - 1 (Natural Turf), Hockey Synthetic Practice Field - 1, Boxing Ring - 1 (Concrete), Kabaddi Court - 1 (Mud), Kho-Kho Court - 1(Mud), Badminton Court - 1 (Mud), Modern Gym Hall - 1(Rubber Cork Mat), Indoor Squash Hall - 1 (Concrete), Beach Volleyball Court - 1(Mud), Indoor Badminton Hall - 1, Synthetic Tennis Court - 1, Swimming Pool 25 Mts x13 Mts, SDAT Sports Hostel for Boys, Walking Track - 1, Multipurpose Indoor Stadium (Wooden), Football Field -1 (Govt. Boys.Hr.Sec. School, Karambayam",All Disciplines
